,Nf,Win,rout,Fano,Corr
0,0.0,0.01,4.93024,0.17537338965991944,0.6946718403792373
1,0.0,0.05,5.00726,0.1759613558994093,0.9143890922471611
2,0.0,0.1,5.14146,0.17382690609642315,0.9679932407597394
3,0.0,0.15,5.344999999999999,0.17633253201874496,0.976057171273448
4,0.0,0.2,5.28352,0.18152798755497582,0.9716748246496335
5,0.0,0.25,5.4365,0.18548521210703314,0.9804100579504877
6,0.0,0.3,5.6125,0.1797497759111246,0.9871908947980853
7,0.0,0.35,5.96516,0.180254105739126,0.9890626168854646
8,0.0,0.4,5.8318200000000004,0.18259796956137397,0.9892827331308341
9,0.0,0.45,6.13224,0.20953631000531744,0.9877439867373895
10,0.0,0.5,5.905800000000001,0.18447582079897587,0.9898388837355666
11,25.0,0.01,5.104439999999999,1.0191590879783703,0.27804063793691486
12,25.0,0.05,5.23012,0.9432411070210753,0.6662782324152849
13,25.0,0.1,5.26432,1.0291746505379642,0.6892891256837762
14,25.0,0.15,5.36822,1.0097763047372883,0.7742910612646123
15,25.0,0.2,5.51504,1.1550659604325453,0.7954219482502318
16,25.0,0.25,5.59306,1.090191765625237,0.8136611728964431
17,25.0,0.3,5.7405,1.1042932241344205,0.8657052853166566
18,25.0,0.35,5.93516,1.0823752554510724,0.8699562462828825
19,25.0,0.4,5.93432,1.1965990192502436,0.8621265098062242
20,25.0,0.45,5.974080000000001,1.2478386484648067,0.863856009853465
21,25.0,0.5,5.939539999999999,1.0882475482719725,0.882075333984269
22,30.0,0.01,5.0735,0.8366447007613423,0.2515141499279681
23,30.0,0.05,5.10778,0.867836763031132,0.591600288319766
24,30.0,0.1,5.222180000000001,0.9342840980589414,0.6750293555374208
25,30.0,0.15,5.42454,0.9263880152668411,0.7998925341124997
26,30.0,0.2,5.485580000000001,0.9693621336326014,0.8369618506350679
27,30.0,0.25,5.53744,0.8658023877121909,0.8729301349722591
28,30.0,0.3,5.728680000000001,0.8848395164933297,0.867237654155148
29,30.0,0.35,5.849060000000001,1.0844393521923834,0.8500968523447754
30,30.0,0.4,5.79202,0.8977304620010935,0.8770699326236131
31,30.0,0.45,5.968719999999999,0.8672015523339406,0.9096851520542606
32,30.0,0.5,6.2279,0.9747637507562904,0.899500184935222
33,50.0,0.01,5.071079999999999,0.6721788368799934,0.3018554481043825
34,50.0,0.05,5.1373,0.640476387152545,0.7025529880043285
35,50.0,0.1,5.30564,0.6054946645815926,0.8381357167055236
36,50.0,0.15,5.411980000000001,0.5941831938674733,0.8685007644474041
37,50.0,0.2,5.44084,0.6354325933633229,0.8916554877677808
38,50.0,0.25,5.701079999999999,0.6425631592471728,0.922530567175268
39,50.0,0.3,5.6492,0.6748286582770902,0.9101943107559772
40,50.0,0.35,5.9469,0.6475967717546516,0.9211503882914557
41,50.0,0.4,5.840920000000001,0.7307881876473692,0.9213844577541543
42,50.0,0.45,6.214160000000001,0.6634013447051089,0.9478548932326795
43,50.0,0.5,6.047560000000001,0.6866612983091359,0.94057124849036
44,100.0,0.01,5.042160000000001,0.3804482121505101,0.5185849306318878
45,100.0,0.05,5.15872,0.40987571582869464,0.7985411326008534
46,100.0,0.1,5.231579999999999,0.369569678675382,0.8876452874440973
47,100.0,0.15,5.44076,0.4181898491235406,0.9238862094374242
48,100.0,0.2,5.435219999999999,0.421613884529336,0.9285623491342562
49,100.0,0.25,5.58458,0.4453622784711343,0.9349774784498057
50,100.0,0.3,5.486560000000001,0.4603403837064612,0.9143605471735915
51,100.0,0.35,5.7716400000000005,0.5029914378053655,0.9469286427381163
52,100.0,0.4,5.9227799999999995,0.41367288116372164,0.9608207405239751
53,100.0,0.45,6.119800000000001,0.4502257161912922,0.9693884584633283
54,100.0,0.5,6.11264,0.41588486112517326,0.9653257631157666
55,250.0,0.01,5.04258,0.2668176051349318,0.5772617899310334
56,250.0,0.05,5.07052,0.26697434270461406,0.8424062280884255
57,250.0,0.1,5.15278,0.2884536082041995,0.8849951271939808
58,250.0,0.15,5.31058,0.2829271989780042,0.9404083111074782
59,250.0,0.2,5.5544400000000005,0.2563972999926405,0.9670431728925758
60,250.0,0.25,5.57608,0.3028911862934226,0.958027772175389
61,250.0,0.3,5.5965,0.2983367519870012,0.9583504407180988
62,250.0,0.35,5.724019999999999,0.296275874611727,0.9704041113132421
63,250.0,0.4,5.8343,0.3088942532155613,0.9712544635307263
64,250.0,0.45,5.77108,0.2749175636889422,0.9728013219536132
65,250.0,0.5,5.73672,0.28980022517148935,0.9711769845988704
